Source,Target
Archimedes,Zeno of Sidon
Archimedes,Apuleius
Archimedes,Arius
Archimedes,Cleomedes
Archimedes,Galen
Archimedes,Lucian
Archimedes,Porphyry
Archimedes,Proclus
Archimedes,Ptolemy
Archimedes,Gerard of Cremona
Archimedes,William of Moerbeke
Archimedes,Galileo Galilei
Archimedes,Christiaan Huygens
Archimedes,Gotthold Ephraim Lessing
Archimedes,Alfred North Whitehead
Archytas,Aenesidemus
Archytas,Anaxagoras
Archytas,Anaximander
Archytas,Anniceris
Archytas,Antisthenes
Archytas,Arcesilaus
Archytas,Archimedes
Archytas,Aristotle
Archytas,Callicles
Archytas,Carneades
Archytas,Chrysippus
Archytas,Cicero
Archytas,Cleanthes
Archytas,Cleobulus
Archytas,Democritus
Archytas,Diodorus Cronus
Archytas,Empedocles
Archytas,Epicurus
Archytas,Epimenides
Archytas,Euclid of Megara
Archytas,Eudoxus of Cnidus
Archytas,Geminus
Archytas,Gorgias
Archytas,Hegesias of Cyrene
Archytas,Hippasus
Archytas,Hippias
Archytas,Hippocrates
Archytas,Leucippus
Archytas,Lucretius
Archytas,Menedemus
Archytas,Metrodorus of Lampsacus
Archytas,Panaetius
Archytas,Parmenides
Archytas,Philo of Larissa
Archytas,Plato
Archytas,Posidonius
Archytas,Prodicus
Archytas,Protagoras
Archytas,Pyrrho
Archytas,Pythagoras
Archytas,Socrates
Archytas,Speusippus
Archytas,Stilpo
Archytas,Strato of Lampsacus
Archytas,Thales
Archytas,Theano
Archytas,Theophrastus
Archytas,Thrasymachus
Archytas,Timon of Phlius
Archytas,Xenocrates
Archytas,Xenophon
Archytas,Zeno of Citium
Archytas,Zeno of Elea
Archytas,Zeno of Sidon
Archytas,Alcinous
Archytas,Alexander of Aphrodisias
Archytas,Ammonius Hermiae
Archytas,Ammonius Saccas
Archytas,Apollonius of Tyana
Archytas,Apuleius
Archytas,Marcus Aurelius
Archytas,Cleomedes
Archytas,Damascius
Archytas,Diogenes of Oenoanda
Archytas,Epictetus
Archytas,Favorinus
