Source,Target,Type,Id,Label,Weight
김재훈_Dir_1,김서원_Act_1,Undirected,5814,,1
김재훈_Dir_1,김원해_Act_1,Undirected,5815,,1
김재훈_Dir_1,김지아_Act_1,Undirected,5816,,1
김재훈_Dir_1,김진만_Act_1,Undirected,5817,,1
김재훈_Dir_1,김태겸_Act_1,Undirected,5818,,1
김재훈_Dir_1,김한솔_Act_1,Undirected,5819,,1
김재훈_Dir_1,문병주_Act_1,Undirected,5820,,1
김재훈_Dir_1,박성웅_Act_1,Undirected,5821,,1
김재훈_Dir_1,박성준_Act_1,Undirected,5822,,1
김재훈_Dir_1,박철민_Act_1,Undirected,5823,,1
김재훈_Dir_1,박효주_Act_1,Undirected,5824,,1
김재훈_Dir_1,배진완_Act_1,Undirected,5825,,1
김재훈_Dir_1,백종현_Act_1,Undirected,5826,,1
김재훈_Dir_1,서성종_Act_1,Undirected,5827,,1
김재훈_Dir_1,석보배_Act_1,Undirected,5828,,1
김재훈_Dir_1,성동일_Act_1,Undirected,5829,,1
김재훈_Dir_1,손정환_Act_1,Undirected,5830,,1
김재훈_Dir_1,손종학_Act_1,Undirected,5831,,2
김재훈_Dir_1,송영규_Act_1,Undirected,5832,,1
김재훈_Dir_1,송우림_Act_1,Undirected,5833,,1
김재훈_Dir_1,신수연_Act_1,Undirected,5834,,1
김재훈_Dir_1,신승환_Act_1,Undirected,5835,,2
김재훈_Dir_1,예수정_Act_1,Undirected,5836,,1
김재훈_Dir_1,오대환_Act_1,Undirected,5837,,1
김재훈_Dir_1,오윤수_Act_1,Undirected,5838,,1
김재훈_Dir_1,왕지혜_Act_1,Undirected,5839,,1
김재훈_Dir_1,유아름_Act_1,Undirected,5840,,1
김재훈_Dir_1,윤경호_Act_1,Undirected,5841,,1
김재훈_Dir_1,윤병희_Act_1,Undirected,5842,,2
김재훈_Dir_1,이나현_Act_1,Undirected,5843,,1
김재훈_Dir_1,이명희_Act_1,Undirected,5844,,1
김재훈_Dir_1,이상원_Act_1,Undirected,5845,,1
김재훈_Dir_1,이서한_Act_1,Undirected,5846,,1
김재훈_Dir_1,이승준_Act_1,Undirected,5847,,1
김재훈_Dir_1,임재성_Act_1,Undirected,5848,,1
김재훈_Dir_1,장동윤_Act_1,Undirected,5849,,1
김재훈_Dir_1,장솔_Act_1,Undirected,5850,,1
김재훈_Dir_1,장재호_Act_1,Undirected,5851,,2
김재훈_Dir_1,전한승_Act_1,Undirected,5852,,1
김재훈_Dir_1,전혜원_Act_1,Undirected,5853,,1
김재훈_Dir_1,정동근_Act_1,Undirected,5854,,1
김재훈_Dir_1,정세인_Act_1,Undirected,5855,,1
김재훈_Dir_1,정유진_Act_1,Undirected,5856,,1
김재훈_Dir_1,정주영_Act_1,Undirected,5857,,1
김재훈_Dir_1,최귀화_Act_1,Undirected,5858,,1
김재훈_Dir_1,최돈학_Act_1,Undirected,5859,,1
김재훈_Dir_1,최상재_Act_1,Undirected,5860,,1
김재훈_Dir_1,최윤빈_Act_1,Undirected,5861,,1
김재훈_Dir_1,추석영_Act_1,Undirected,5862,,1
김재훈_Dir_1,한서윤_Act_1,Undirected,5863,,3
김재훈_Dir_1,황보라_Act_1,Undirected,5864,,1
김재훈_Dir_1,황재열_Act_1,Undirected,5865,,1
김지운_Dir_1,강아름_Act_1,Undirected,5866,,1
김지운_Dir_1,곽동학_Act_1,Undirected,5867,,1
김지운_Dir_1,김동영_Act_1,Undirected,5868,,1
김지운_Dir_1,김문학_Act_1,Undirected,5869,,1
김지운_Dir_1,김민재_Act_1,Undirected,5870,,1
김지운_Dir_1,김성경_Act_1,Undirected,5871,,1
김지운_Dir_1,김성준_Act_1,Undirected,5872,,1
김지운_Dir_1,김인서_Act_1,Undirected,5873,,1
김지운_Dir_1,김재건_Act_1,Undirected,5874,,1
김지운_Dir_1,김중희_Act_1,Undirected,5875,,1
김지운_Dir_1,김홍국_Act_1,Undirected,5876,,1
김지운_Dir_1,나지엽_Act_1,Undirected,5877,,1
김지운_Dir_1,남지우_Act_1,Undirected,5878,,1
김지운_Dir_1,남회정_Act_1,Undirected,5879,,1
김지운_Dir_1,노아림_Act_1,Undirected,5880,,1
김지운_Dir_1,박예리_Act_1,Undirected,5881,,1
김지운_Dir_1,박정수_Act_1,Undirected,5882,,1
김지운_Dir_1,박정환_Act_1,Undirected,5883,,1
김지운_Dir_1,박혜정_Act_1,Undirected,5884,,1
김지운_Dir_1,배성일_Act_1,Undirected,5885,,1
김지운_Dir_1,송강호_Act_1,Undirected,5886,,1
김지운_Dir_1,신기환_Act_1,Undirected,5887,,1
김지운_Dir_1,심희영_Act_1,Undirected,5888,,1
김지운_Dir_1,엄태구_Act_1,Undirected,5889,,1
김지운_Dir_1,염혜란_Act_1,Undirected,5890,,1
김지운_Dir_1,오영훈_Act_1,Undirected,5891,,1
김지운_Dir_1,오정세_Act_1,Undirected,5892,,1
김지운_Dir_1,우지만_Act_1,Undirected,5893,,1
김지운_Dir_1,유민재_Act_1,Undirected,5894,,1
김지운_Dir_1,유민주_Act_1,Undirected,5895,,1
김지운_Dir_1,윤정한_Act_1,Undirected,5896,,1
김지운_Dir_1,이선우_Act_1,Undirected,5897,,1
